No,Name,Address,Class,District,Longitude,Latitude,Pop,Envi_Fact
533,RS Islam Darus Syifa,"Jl. Raya Benowo No.5,Surabaya",C,Surabaya,112.6130007,-7.23538196,0.394498,0.085358
534,RSUD Lawang,"Jl. RA Kartini 5, Lawang Kab. Malang",D,Malang,112.6761461,-7.839826485,0.661947,0.388334
535,RSUD Sumberrejo,"Jl. Raya No.231 Sumberrejo,Bojonegoro",D,Bojonegoro,111.8982827,-7.142940336,1.176794,0.024158
536,RSUD Kalisat Kab.Jember,Jl. M.H.Thamrin No.31 Jember,D,Jember,113.6719793,-8.201455122,0.437173,0.530535
537,RSUD Padangan,"Jl. Dr. Soetomo No.02 Padangan,Bojonegoro",D,Bojonegoro,111.6335146,7.160638508,0.584224,0.500374
538,RSUD Tongas,"Jl. Raya Tongas No. 229,Probolinggo",D,Kota Probolinggo,113.1195056,-7.735421093,0.729491,0.637579
539,Rumkit Tk.III Baladika Husada Jember,Jl. PB Sudirman No. 49 Jember,III,Jember,113.6704097,8.260301878,1.162241,0.037456
540,RS Pelabuhan Tg.Priok,Jl. Kramat Jaya Tg Priok Jakut,,Kota Jakarta Utara,106.9180019,-6.124998912,6.685334,0.116329
541,RS Sahid Sahirman,"Jl. Jend.Sudirman No.86, Jaksel",,,106.8021812,-6.227201508,6.782517,0.011048
542,RS Islam Jakarta Utara,Jl. Tipar Cakung No.5 Jakut,,Kota Jakarta Utara,106.9209538,-6.13978975,7.028973,0.113102
543,RS PGI Tjikini,Jl. Raden Saleh No. 40 Jakpus,,Kota Jakarta Selatan,106.8419831,6.191484108,7.993453,0.205483
544,RS Jakarta Medical Center (JMC),"Jl. Buncit Raya No.15,Jakarta Selatan",,Jakarta Selatan,106.8302022,-6.271395658,7.063159,0.085145
545,RS Pantai Indah Kapuk,Jl. Pantai Indah Utara 3 Jakut,,Jakarta Utara,106.7531846,-6.111942664,4.935901,0.287706
546,RS FK UKI,"Jl. May.Jen Soetoyo Cawang,Jakarta Timur",,Jakarta Timur,106.8720018,-6.250919466,6.463871,0.542575
547,RS Pusat Pertamina,"Jl. Kyai Maja,Jakarta Selatan",,Jakarta Selatan,106.8004778,-6.242835116,6.426317,0.085523
548,RS Jakarta,"Jl. Jend.Sudirman Kav.49,Jaksel",,Jakarta Selatan,106.8021812,-6.227201508,6.782517,0.011048
549,RS Kebayoran,"Jl. Birah III/4 Keb Baru,Jaksel",,Jakarta Selatan,106.8220331,-6.233158867,5.702632,0.156201
550,RS Setia Mitra,"Jl. Fatmawati No. 80-82,Jaksel",,Jakarta Selatan,106.8060561,-6.269362308,6.860527,0.106057
551,RS Tebet,"Jl. Let.Jend.Haryono. MT No.8,Jaksel",,Jakarta Selatan,106.8514676,-6.238465197,0.628158,0.292301
552,RS Pondok Indah,"Jl. Metro Duta Pd Indah,Jaksel",,Jakarta Selatan,106.7803494,-6.280487765,6.136843,0.099076
553,RSU Prikasih,"Jl. RS Fatmawati Raya 74,Jaksel",,Jakarta Selatan,106.7949886,-6.313355799,6.316359,0.090376
554,RS Harapan Kartini,"Jl. Ampera Raya No.1,Jaksel",,Jakarta Selatan,106.8156343,-6.286137446,6.744738,0.089178
555,RSU Gandaria,"Jl. Gandaria Tengah 11 Kby Baru,Jaksel",,Jakarta Selatan,106.7929954,-6.246518333,6.686843,0.483471
556,RS Agung,"Jl. Sultan Agung No.67,Jaksel",,Jakarta Selatan,106.8446809,-6.209253626,7.292259,0.270987
557,RS Siaga Raya,"Jl. Siaga Raya Kav.4-8,Jaksel",,Jakarta Selatan,106.8382063,-6.272934048,6.947369,0.143514
558,RS Pasar Minggu,"Jl. Raya Ragunan P 7,Jaksel",,Jakarta Selatan,106.8329178,-6.286480797,7.034212,0.432036
559,RS Medistra,"Jl. Gatot Subroto Kav 59,Jaksel",,Jakarta Selatan,106.8337917,6.240012505,0.616579,0.111143
